sheet,id,class,subclass,variable,calculated
sheet2,malu_crops_n,MANAGED CONVENTIONAL,Irrigated crops,non_beneficial,FALSE
sheet2,malu_waterbodies_n,MANAGED CONVENTIONAL,Managed water bodies,non_beneficial,FALSE
sheet2,malu_others1_n,MANAGED CONVENTIONAL,Others,non_beneficial,FALSE
sheet2,malu_residential_n,MANAGED CONVENTIONAL,Residential,non_beneficial,FALSE
sheet2,malu_greenhouses_n,MANAGED NON_CONVENTIONAL,Greenhouses,non_beneficial,FALSE
sheet2,malu_idomestic_n,MANAGED NON_CONVENTIONAL,Indoor domestic,non_beneficial,FALSE
sheet2,malu_iiindustry_n,MANAGED NON_CONVENTIONAL,Indoor industry,non_beneficial,FALSE
sheet2,malu_livestock_n,MANAGED NON_CONVENTIONAL,Livestock and husbandry,non_beneficial,FALSE
sheet2,malu_others2_n,MANAGED NON_CONVENTIONAL,Others,non_beneficial,FALSE
sheet2,malu_powerandenergy_n,MANAGED NON_CONVENTIONAL,Power and energy,non_beneficial,FALSE
sheet2,molu_forest_n,MODIFIED,Forest plantations,non_beneficial,FALSE
sheet2,molu_others_n,MODIFIED,Others,non_beneficial,FALSE
sheet2,molu_rainfed_n,MODIFIED,Rainfed crops,non_beneficial,FALSE
sheet2,molu_settlements_n,MODIFIED,Settlements,non_beneficial,FALSE
sheet2,plu_forest_n,PROTECTED,Forest,non_beneficial,FALSE
sheet2,plu_glaciers_n,PROTECTED,Glaciers,non_beneficial,FALSE
sheet2,plu_grasslands_n,PROTECTED,Natural grasslands,non_beneficial,FALSE
sheet2,plu_waterbodies_n,PROTECTED,Natural water bodies,non_beneficial,FALSE
sheet2,plu_others_n,PROTECTED,Others,non_beneficial,FALSE
sheet2,plu_shrubland_n,PROTECTED,Shrubland,non_beneficial,FALSE
sheet2,plu_wetlands_n,PROTECTED,Wetlands,non_beneficial,FALSE
sheet2,ulu_forest_n,UTILIZED,Forest,non_beneficial,FALSE
sheet2,ulu_grasslands_n,UTILIZED,Natural grasslands,non_beneficial,FALSE
sheet2,ulu_waterbodies_n,UTILIZED,Natural water bodies,non_beneficial,FALSE
sheet2,ulu_others_n,UTILIZED,Others,non_beneficial,FALSE
sheet2,ulu_shrubland_n,UTILIZED,Shrubland,non_beneficial,FALSE
sheet2,ulu_wetlands_n,UTILIZED,Wetlands,non_beneficial,FALSE
sheet2,malu_industry_s,MANAGED CONVENTIONAL,Industry,soil,FALSE
sheet2,malu_crops_s,MANAGED CONVENTIONAL,Irrigated crops,soil,FALSE
sheet2,malu_waterbodies_s,MANAGED CONVENTIONAL,Managed water bodies,soil,FALSE
sheet2,malu_others1_s,MANAGED CONVENTIONAL,Others,soil,FALSE
sheet2,malu_residential_s,MANAGED CONVENTIONAL,Residential,soil,FALSE
sheet2,malu_greenhouses_s,MANAGED NON_CONVENTIONAL,Greenhouses,soil,FALSE
sheet2,malu_idomestic_s,MANAGED NON_CONVENTIONAL,Indoor domestic,soil,FALSE
sheet2,malu_iiindustry_s,MANAGED NON_CONVENTIONAL,Indoor industry,soil,FALSE
sheet2,malu_livestock_s,MANAGED NON_CONVENTIONAL,Livestock and husbandry,soil,FALSE
sheet2,malu_others2_s,MANAGED NON_CONVENTIONAL,Others,soil,FALSE
sheet2,malu_powerandenergy_s,MANAGED NON_CONVENTIONAL,Power and energy,soil,FALSE
sheet2,molu_forest_s,MODIFIED,Forest plantations,soil,FALSE
sheet2,molu_others_s,MODIFIED,Others,soil,FALSE
sheet2,molu_rainfed_s,MODIFIED,Rainfed crops,soil,FALSE
sheet2,molu_settlements_s,MODIFIED,Settlements,soil,FALSE
sheet2,plu_forest_s,PROTECTED,Forest,soil,FALSE
sheet2,plu_glaciers_s,PROTECTED,Glaciers,soil,FALSE
sheet2,plu_grasslands_s,PROTECTED,Natural grasslands,soil,FALSE
sheet2,plu_waterbodies_s,PROTECTED,Natural water bodies,soil,FALSE
sheet2,plu_others_s,PROTECTED,Others,soil,FALSE
sheet2,plu_shrubland_s,PROTECTED,Shrubland,soil,FALSE
sheet2,plu_wetlands_s,PROTECTED,Wetlands,soil,FALSE
sheet2,ulu_forest_s,UTILIZED,Forest,soil,FALSE
sheet2,ulu_grasslands_s,UTILIZED,Natural grasslands,soil,FALSE
sheet2,ulu_waterbodies_s,UTILIZED,Natural water bodies,soil,FALSE
sheet2,ulu_others_s,UTILIZED,Others,soil,FALSE
sheet2,ulu_shrubland_s,UTILIZED,Shrubland,soil,FALSE
sheet2,ulu_wetlands_s,UTILIZED,Wetlands,soil,FALSE
sheet2,malu_industry_t,MANAGED CONVENTIONAL,Industry,transpiration,FALSE
sheet2,malu_crops_t,MANAGED CONVENTIONAL,Irrigated crops,transpiration,FALSE
sheet2,malu_waterbodies_t,MANAGED CONVENTIONAL,Managed water bodies,transpiration,FALSE
sheet2,malu_others1_t,MANAGED CONVENTIONAL,Others,transpiration,FALSE
sheet2,malu_residential_t,MANAGED CONVENTIONAL,Residential,transpiration,FALSE
sheet2,malu_greenhouses_t,MANAGED NON_CONVENTIONAL,Greenhouses,transpiration,FALSE
