CLASS,SUBCLASS,VARIABLE,VALUE,iso3,sheet,year
INFLOW,PRECIPITATION,Snowfall,0,ken,sheet1,2009
INFLOW,PRECIPITATION,Precipitation recycling,0,ken,sheet1,2009
INFLOW,SURFACE WATER,Main riverstem,0,ken,sheet1,2009
INFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2009
INFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2009
INFLOW,SURFACE WATER,Flood,0,ken,sheet1,2009
INFLOW,GROUNDWATER,Natural,0,ken,sheet1,2009
INFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2009
INFLOW,OTHER,Desalinized,0,ken,sheet1,2009
STORAGE,CHANGE,Surface storage,-3.19769717666212,ken,sheet1,2009
STORAGE,CHANGE,Storage in sinks,0,ken,sheet1,2009
OUTFLOW,ET LANDSCAPE,Protected,1.51574026983591,ken,sheet1,2009
OUTFLOW,ET LANDSCAPE,Utilized,2.25363436930506,ken,sheet1,2009
OUTFLOW,ET LANDSCAPE,Modified,3.01006454252833,ken,sheet1,2009
OUTFLOW,ET LANDSCAPE,Managed,0.0984774271111582,ken,sheet1,2009
OUTFLOW,ET UTILIZED FLOW,Protected,0.0520249955765677,ken,sheet1,2009
OUTFLOW,ET UTILIZED FLOW,Utilized,0.747698350208095,ken,sheet1,2009
OUTFLOW,ET UTILIZED FLOW,Modified,0.196163647446995,ken,sheet1,2009
OUTFLOW,ET UTILIZED FLOW,Managed,0.802962947620727,ken,sheet1,2009
OUTFLOW,ET INCREMENTAL,Manmade,0.00596073915866405,ken,sheet1,2009
OUTFLOW,ET INCREMENTAL,Natural,0.995886993231658,ken,sheet1,2009
OUTFLOW,SURFACE WATER,Main riverstem,2.04093136831,ken,sheet1,2009
OUTFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2009
OUTFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2009
OUTFLOW,SURFACE WATER,Flood,0,ken,sheet1,2009
OUTFLOW,SURFACE WATER,Interbasin transfer,0,ken,sheet1,2009
OUTFLOW,GROUNDWATER,Natural,0,ken,sheet1,2009
OUTFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2009
OUTFLOW,OTHER,Non-utilizable,0,ken,sheet1,2009
OUTFLOW,OTHER,Other,0,ken,sheet1,2009
OUTFLOW,RESERVED,Commited,0.656732616029948,ken,sheet1,2009
OUTFLOW,RESERVED,Navigational,0,ken,sheet1,2009
OUTFLOW,RESERVED,Environmental,0,ken,sheet1,2009
INFLOW,PRECIPITATION,Rainfall,16.0353678001215,ken,sheet1,2010
INFLOW,PRECIPITATION,Snowfall,0,ken,sheet1,2010
INFLOW,PRECIPITATION,Precipitation recycling,0,ken,sheet1,2010
INFLOW,SURFACE WATER,Main riverstem,0,ken,sheet1,2010
INFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2010
INFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2010
INFLOW,SURFACE WATER,Flood,0,ken,sheet1,2010
INFLOW,GROUNDWATER,Natural,0,ken,sheet1,2010
INFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2010
INFLOW,OTHER,Desalinized,0,ken,sheet1,2010
STORAGE,CHANGE,Surface storage,-1.84211596202397,ken,sheet1,2010
STORAGE,CHANGE,Storage in sinks,0,ken,sheet1,2010
OUTFLOW,ET LANDSCAPE,Protected,1.87426084326056,ken,sheet1,2010
OUTFLOW,ET LANDSCAPE,Utilized,3.18857959165052,ken,sheet1,2010
OUTFLOW,ET LANDSCAPE,Modified,3.69891345460994,ken,sheet1,2010
OUTFLOW,ET LANDSCAPE,Managed,0.110159131023184,ken,sheet1,2010
OUTFLOW,ET UTILIZED FLOW,Protected,0.109976386886206,ken,sheet1,2010
OUTFLOW,ET UTILIZED FLOW,Utilized,0.830687108548425,ken,sheet1,2010
OUTFLOW,ET UTILIZED FLOW,Modified,0.235367770105589,ken,sheet1,2010
OUTFLOW,ET UTILIZED FLOW,Managed,1.62336487828102,ken,sheet1,2010
OUTFLOW,ET INCREMENTAL,Manmade,0.00752215551305943,ken,sheet1,2010
OUTFLOW,ET INCREMENTAL,Natural,1.17603126554022,ken,sheet1,2010
OUTFLOW,SURFACE WATER,Main riverstem,4.1377853965,ken,sheet1,2010
OUTFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2010
OUTFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2010
OUTFLOW,SURFACE WATER,Flood,0,ken,sheet1,2010
OUTFLOW,SURFACE WATER,Interbasin transfer,0,ken,sheet1,2010
OUTFLOW,GROUNDWATER,Natural,0,ken,sheet1,2010
OUTFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2010
OUTFLOW,OTHER,Non-utilizable,0,ken,sheet1,2010
OUTFLOW,OTHER,Other,0,ken,sheet1,2010
OUTFLOW,RESERVED,Commited,0.664054025303916,ken,sheet1,2010
OUTFLOW,RESERVED,Navigational,0,ken,sheet1,2010
OUTFLOW,RESERVED,Environmental,0,ken,sheet1,2010
INFLOW,PRECIPITATION,Rainfall,16.6756865337142,ken,sheet1,2011
INFLOW,PRECIPITATION,Snowfall,0,ken,sheet1,2011
INFLOW,PRECIPITATION,Precipitation recycling,0,ken,sheet1,2011
